rank,severity,title,labels,body
11,High,[Parent] Click 'Logout',"bug,P1,role:parent,security","**Source:** Parent role test suite — Test Case `PDASH-13`
**Module:** 1. Parent Dashboard
**Original QA Priority:** Medium
**Assigned Severity:** P1 (High)

**Test Scenario:** Click 'Logout'

**Expected Result:**
Session ends; user is redirected to login page

**Actual Result / QA Notes:**
No session expiration message is displayed, and the user is not redirected to the login page after the session expires.

**Status in QA sheet:** Fail

---
_Auto-generated from Novaa_QA_TestCases_RoleWise.xlsx. Reference project: Smart College MERN._
"
12,High,[Parent] Verify Detailed Attendance History table,"bug,P1,role:parent","**Source:** Parent role test suite — Test Case `CATT-04`
**Module:** 5. Child Attendance
**Original QA Priority:** Medium
**Assigned Severity:** P1 (High)

**Test Scenario:** Verify Detailed Attendance History table

**Expected Result:**
Displays session-wise date, subject, and status (Present/Absent) correctly

**Actual Result / QA Notes:**
(no additional QA comment — see Expected Result vs actual observed behavior)

**Status in QA sheet:** Fail

---
_Auto-generated from Novaa_QA_TestCases_RoleWise.xlsx. Reference project: Smart College MERN._
"
13,High,[Parent] Verify data updates after new attendance is marked,"bug,P1,role:parent","**Source:** Parent role test suite — Test Case `CATT-06`
**Module:** 5. Child Attendance
**Original QA Priority:** Medium
**Assigned Severity:** P1 (High)

**Test Scenario:** Verify data updates after new attendance is marked

**Expected Result:**
Attendance Records page reflects the new session immediately or on refresh

**Actual Result / QA Notes:**
(no additional QA comment — see Expected Result vs actual observed behavior)

**Status in QA sheet:** Fail

---
_Auto-generated from Novaa_QA_TestCases_RoleWise.xlsx. Reference project: Smart College MERN._
"
14,High,[Student] Personal info tab displays correct data,"bug,P1,role:student","**Source:** Student role test suite — Test Case `TC-034`
**Module:** Profile
**Original QA Priority:** High
**Assigned Severity:** P1 (High)

**Test Scenario:** Personal info tab displays correct data

**Expected Result:**
Full Name, DOB, Gender, Nationality, Religion, Category, Blood Group displayed correctly

**Actual Result / QA Notes:**
During student registration, the system does not collect the student's Blood Group or Religion. As a result, these fields are displayed as null in the student's profile details.

**Status in QA sheet:** Fail

---
_Auto-generated from Novaa_QA_TestCases_RoleWise.xlsx. Reference project: Smart College MERN._
"
15,High,[Student] Academic info tab shows correct course/dept/semester,"bug,P1,role:student,validation","**Source:** Student role test suite — Test Case `TC-041`
**Module:** Profile
**Original QA Priority:** High
**Assigned Severity:** P1 (High)

**Test Scenario:** Academic info tab shows correct course/dept/semester

**Expected Result:**
Department, Course, Course Code, Current Semester, Admission Year, Academic Status all correct & read-only (not student-editable)

**Actual Result / QA Notes:**
Academic Details section allows student to edit both ""Admission Year"" and ""Current Semester,"" which should be read-only/admin-controlled fields. Additionally, no validation exists — a future Admission Year (e.g., 2027, ahead of current date 7/7/2026) was accepted and successfully saved without any error, allowing students to create logically invalid academic records. Department and Course fields are correctly locked, but Admission Year and Current Semester need the same protection plus backend validation.

**Status in QA sheet:** Fail

---
_Auto-generated from Novaa_QA_TestCases_RoleWise.xlsx. Reference project: Smart College MERN._
"
16,High,[Student] Duplicate email validation,"bug,P1,role:student,validation,ui-state","**Source:** Student role test suite — Test Case `TC-045`
**Module:** Profile
**Original QA Priority:** Medium
**Assigned Severity:** P1 (High)

**Test Scenario:** Duplicate email validation

**Expected Result:**
Error - email already in use

**Actual Result / QA Notes:**
beacuse student profile is not updated email address

**Status in QA sheet:** Fail

---
_Auto-generated from Novaa_QA_TestCases_RoleWise.xlsx. Reference project: Smart College MERN._
"
17,High,[Student] Document upload flow (when required),"bug,P1,role:student","**Source:** Student role test suite — Test Case `TC-049`
**Module:** Profile
**Original QA Priority:** High
**Assigned Severity:** P1 (High)

**Test Scenario:** Document upload flow (when required)

**Expected Result:**
File uploads successfully, appears in list with pending/verified status

**Actual Result / QA Notes:**
Documents uploaded by the student during registration are not displayed in the Uploaded Documents section after the registration process is completed.

**Status in QA sheet:** Fail

---
_Auto-generated from Novaa_QA_TestCases_RoleWise.xlsx. Reference project: Smart College MERN._
"
18,High,[Student] Classes This Week / Today's Classes / Working Days counters accurate,"bug,P1,role:student","**Source:** Student role test suite — Test Case `TC-062`
**Module:** Timetable
**Original QA Priority:** High
**Assigned Severity:** P1 (High)

**Test Scenario:** Classes This Week / Today's Classes / Working Days counters accurate

**Expected Result:**
Counts match actual number of classes/working days in the displayed week

**Actual Result / QA Notes:**
timetable not show on student side

**Status in QA sheet:** Fail

---
_Auto-generated from Novaa_QA_TestCases_RoleWise.xlsx. Reference project: Smart College MERN._
"
19,High,[Student] Zero lectures held edge case,"bug,P1,role:student","**Source:** Student role test suite — Test Case `TC-084`
**Module:** Attendance
**Original QA Priority:** High
**Assigned Severity:** P1 (High)

**Test Scenario:** Zero lectures held edge case

**Expected Result:**
Shows 0 for all counters, 0.00% or N/A (not NaN/undefined), no crash

**Actual Result / QA Notes:**
requires fresh student account with zero attendance records, not available in current test environment

**Status in QA sheet:** Blocked

---
_Auto-generated from Novaa_QA_TestCases_RoleWise.xlsx. Reference project: Smart College MERN._
"
20,High,[Student] API/server down graceful handling,"bug,P1,role:student","**Source:** Student role test suite — Test Case `TC-106`
**Module:** Cross-Cutting
**Original QA Priority:** High
**Assigned Severity:** P1 (High)

**Test Scenario:** API/server down graceful handling

**Expected Result:**
User-friendly error message/toast shown, retry option available, app doesn't crash/white-screen

**Actual Result / QA Notes:**
When the network is offline and the page is reloaded, the app does not handle it gracefully. Instead of showing a user-friendly error message with a retry option, the browser's default ""No internet"" (ERR_INTERNET_DISCONNECTED) page is shown. The app has no custom offline/error-state handling for this scenario

**Status in QA sheet:** Fail

---
_Auto-generated from Novaa_QA_TestCases_RoleWise.xlsx. Reference project: Smart College MERN._
"
21,High,[SuperAdmin] Session timeout check,"bug,P1,role:superadmin,security","**Source:** SuperAdmin role test suite — Test Case `TC-007`
**Module:** Login
**Original QA Priority:** Medium
**Assigned Severity:** P1 (High)

**Test Scenario:** Session timeout check

**Expected Result:**
Session should expire and redirect to login page

**Actual Result / QA Notes:**
(no additional QA comment — see Expected Result vs actual observed behavior)

**Status in QA sheet:** fail

---
_Auto-generated from Novaa_QA_TestCases_RoleWise.xlsx. Reference project: Smart College MERN._
"
22,High,[SuperAdmin] Monthly Admissions - month selector,"bug,P1,role:superadmin","**Source:** SuperAdmin role test suite — Test Case `TC-065`
**Module:** Admission Reports
**Original QA Priority:** High
**Assigned Severity:** P1 (High)

**Test Scenario:** Monthly Admissions - month selector

**Expected Result:**
Admissions data for the selected month should update

**Actual Result / QA Notes:**
Month selector is not clickable — clicking the calendar icon does nothing

**Status in QA sheet:** Fail

---
_Auto-generated from Novaa_QA_TestCases_RoleWise.xlsx. Reference project: Smart College MERN._
"
23,High,[SuperAdmin] Invalid date range (End < Start),"bug,P1,role:superadmin,validation,ui-state","**Source:** SuperAdmin role test suite — Test Case `TC-076`
**Module:** Security Audit
**Original QA Priority:** Medium
**Assigned Severity:** P1 (High)

**Test Scenario:** Invalid date range (End < Start)

**Expected Result:**
Validation error should be shown, invalid range should be blocked

**Actual Result / QA Notes:**
The system does not validate the selected date range. If the user selects the End Date as the Start Date and the Start Date as the End Date (i.e., the start date is later than the end date), the filter is still applied instead of displaying a validation error

**Status in QA sheet:** Fail

---
_Auto-generated from Novaa_QA_TestCases_RoleWise.xlsx. Reference project: Smart College MERN._
"
24,High,[Teacher] Teacher - Create Attendance Session,"bug,P1,role:teacher,security","**Source:** Teacher role test suite — Test Case `ATT-TC-001`
**Module:** ATTENDANCE MANAGEMENT
**Original QA Priority:** Medium
**Assigned Severity:** P1 (High)

**Test Scenario:** Teacher - Create Attendance Session

**Expected Result:**
Session created with OPEN status

**Actual Result / QA Notes:**
(no additional QA comment — see Expected Result vs actual observed behavior)

**Status in QA sheet:** Fail

---
_Auto-generated from Novaa_QA_TestCases_RoleWise.xlsx. Reference project: Smart College MERN._
"
25,Medium,[Admin] Duplicate Course Code,"bug,P2,role:admin","**Source:** Admin role test suite — Test Case `CRS-TC-002`
**Module:** COURSE MANAGEMENT
**Original QA Priority:** Medium
**Assigned Severity:** P2 (Medium)

**Test Scenario:** Duplicate Course Code

**Expected Result:**
Error ""duplicate course code""

**Actual Result / QA Notes:**
(no additional QA comment — see Expected Result vs actual observed behavior)

**Status in QA sheet:** Fail

---
_Auto-generated from Novaa_QA_TestCases_RoleWise.xlsx. Reference project: Smart College MERN._
"
26,Medium,[Admin Officer] Select Student for Promotion,"bug,P2,role:admin-officer","**Source:** Admin Officer role test suite — Test Case `ADM-TC-018`
**Module:** Student Promotion
**Original QA Priority:** Medium
**Assigned Severity:** P2 (Medium)

**Test Scenario:** Select Student for Promotion

**Expected Result:**
Row gets selected/highlighted for promotion action

**Actual Result / QA Notes:**
Beacuse of student 6 sem not complete

**Status in QA sheet:** Fail

---
_Auto-generated from Novaa_QA_TestCases_RoleWise.xlsx. Reference project: Smart College MERN._
"
27,Medium,[Admin Officer] Select Ineligible Student for Promotion,"bug,P2,role:admin-officer","**Source:** Admin Officer role test suite — Test Case `ADM-TC-019`
**Module:** Student Promotion
**Original QA Priority:** Medium
**Assigned Severity:** P2 (Medium)

**Test Scenario:** Select Ineligible Student for Promotion

**Expected Result:**
System should prevent selection or warn user that student doesn't meet promotion criteria

**Actual Result / QA Notes:**
The system should display the warning message ""This student is not eligible for promotion."" instead of ""0 students promoted successfully.""

**Status in QA sheet:** Fail

---
_Auto-generated from Novaa_QA_TestCases_RoleWise.xlsx. Reference project: Smart College MERN._
"
28,Medium,[Parent] Click 'Refresh' on Dashboard,"bug,P2,role:parent,ui-state","**Source:** Parent role test suite — Test Case `PDASH-02`
**Module:** 1. Parent Dashboard
**Original QA Priority:** Medium
**Assigned Severity:** P2 (Medium)

**Test Scenario:** Click 'Refresh' on Dashboard

**Expected Result:**
All widgets (Total Children, Active Students, Avg Attendance, Pending Fees) reload with latest data; Current Time updates

**Actual Result / QA Notes:**
Not show count accurate of active student ,pending fee, or attendence

**Status in QA sheet:** fail

---
_Auto-generated from Novaa_QA_TestCases_RoleWise.xlsx. Reference project: Smart College MERN._
"
29,Medium,[Parent] Apply 'All Status' filter dropdown,"bug,P2,role:parent,ui-state","**Source:** Parent role test suite — Test Case `MCL-06`
**Module:** 2. My Children - Children List
**Original QA Priority:** Medium
**Assigned Severity:** P2 (Medium)

**Test Scenario:** Apply 'All Status' filter dropdown

**Expected Result:**
List filters correctly to show only children matching the selected status

**Actual Result / QA Notes:**
If a student has not been approved by the College Admin (i.e., the student's status is Pending), the student does not appear in the Parent List. As a result, the Parent List remains empty for pending students, making the option unnecessary or confusing at this stage of the workflow.

**Status in QA sheet:** fail

---
_Auto-generated from Novaa_QA_TestCases_RoleWise.xlsx. Reference project: Smart College MERN._
"
30,Medium,[Parent] Click 'Attendance' tab,"bug,P2,role:parent","**Source:** Parent role test suite — Test Case `CPRO-05`
**Module:** 3. Child Profile - Overview & Tabs
**Original QA Priority:** Medium
**Assigned Severity:** P2 (Medium)

**Test Scenario:** Click 'Attendance' tab

**Expected Result:**
Displays attendance summary and history for that child

**Actual Result / QA Notes:**
Attendence not show properly

**Status in QA sheet:** Fail

---
_Auto-generated from Novaa_QA_TestCases_RoleWise.xlsx. Reference project: Smart College MERN._
"
31,Medium,[Principal] Custom Range - Invalid Date Order,"bug,P2,role:principal,validation","**Source:** Principal role test suite — Test Case `PRIN-TC-040`
**Module:** Payment Reports
**Original QA Priority:** Medium
**Assigned Severity:** P2 (Medium)

**Test Scenario:** Custom Range - Invalid Date Order

**Expected Result:**
Validation error shown, or no data returned; report doesn't silently miscalculate

**Actual Result / QA Notes:**
no any validation to custome range date

**Status in QA sheet:** Fail

---
_Auto-generated from Novaa_QA_TestCases_RoleWise.xlsx. Reference project: Smart College MERN._
"
32,Medium,[Student] Classes today display correctly,"bug,P2,role:student","**Source:** Student role test suite — Test Case `TC-025`
**Module:** Dashboard
**Original QA Priority:** High
**Assigned Severity:** P2 (Medium)

**Test Scenario:** Classes today display correctly

**Expected Result:**
Lists subject, time, room for each class in chronological order

**Actual Result / QA Notes:**
(no additional QA comment — see Expected Result vs actual observed behavior)

**Status in QA sheet:** Fail

---
_Auto-generated from Novaa_QA_TestCases_RoleWise.xlsx. Reference project: Smart College MERN._
"
33,Medium,[Student] Dashboard load time under slow network,"bug,P2,role:student","**Source:** Student role test suite — Test Case `TC-033`
**Module:** Dashboard
**Original QA Priority:** Low
**Assigned Severity:** P2 (Medium)

**Test Scenario:** Dashboard load time under slow network

**Expected Result:**
Page loads within acceptable time (<5s), shows loading skeletons, no crash

**Actual Result / QA Notes:**
Page load time on throttled network (Slow 4G) is far above acceptable limits and keeps increasing over time instead of stabilizing — Load time went from 12s to 6 minutes on repeated testing of the same page. Network tab shows the same API endpoints (student, my-profile, me) being called repeatedly (10+ times) for identical data, with request count growing the longer the page stays open (98 → 233 requests). This points to a duplicate-call/polling bug (likely a missing cleanup on an interval or a useEffect re-fetch loop), not just normal network slowness.

**Status in QA sheet:** Fail

---
_Auto-generated from Novaa_QA_TestCases_RoleWise.xlsx. Reference project: Smart College MERN._
"
34,Medium,[Student] Save edited personal info updates 'Last updated' timestamp,"bug,P2,role:student","**Source:** Student role test suite — Test Case `TC-037`
**Module:** Profile
**Original QA Priority:** High
**Assigned Severity:** P2 (Medium)

**Test Scenario:** Save edited personal info updates 'Last updated' timestamp

**Expected Result:**
Data saved, 'Last updated' timestamp refreshes to current date/time

**Actual Result / QA Notes:**
We  Not edited the DOB in profile edit form

**Status in QA sheet:** Fail/Not Executable

---
_Auto-generated from Novaa_QA_TestCases_RoleWise.xlsx. Reference project: Smart College MERN._
"
35,Medium,[Student] Invalid DOB entry validation,"bug,P2,role:student,validation","**Source:** Student role test suite — Test Case `TC-038`
**Module:** Profile
**Original QA Priority:** Medium
**Assigned Severity:** P2 (Medium)

**Test Scenario:** Invalid DOB entry validation

**Expected Result:**
Validation error shown, save blocked

**Actual Result / QA Notes:**
Future DOB (2030) accepted — no validation error shown, save succeeded instead of being blocked

**Status in QA sheet:** Fail/Not Executable

---
_Auto-generated from Novaa_QA_TestCases_RoleWise.xlsx. Reference project: Smart College MERN._
"
36,Medium,[Student] Mobile number format validation,"bug,P2,role:student,validation","**Source:** Student role test suite — Test Case `TC-040`
**Module:** Profile
**Original QA Priority:** Medium
**Assigned Severity:** P2 (Medium)

**Test Scenario:** Mobile number format validation

**Expected Result:**
Validation error - mobile must be 10 digits

**Actual Result / QA Notes:**
Parent Details fields are not editable — no edit option available on this tab, so mobile number validation could not be tested

**Status in QA sheet:** Fail

---
_Auto-generated from Novaa_QA_TestCases_RoleWise.xlsx. Reference project: Smart College MERN._
"
37,Medium,[Student] Update email triggers verification,"bug,P2,role:student","**Source:** Student role test suite — Test Case `TC-044`
**Module:** Profile
**Original QA Priority:** Medium
**Assigned Severity:** P2 (Medium)

**Test Scenario:** Update email triggers verification

**Expected Result:**
Verification email sent / confirmation flow triggered before email updates fully, or update reflected properly

**Actual Result / QA Notes:**
System shows 'Profile updated successfully' but only mobile number gets updated — email change is silently ignored and not saved, with no error or warning shown

**Status in QA sheet:** Fail

---
_Auto-generated from Novaa_QA_TestCases_RoleWise.xlsx. Reference project: Smart College MERN._
"
38,Medium,[Student] Pincode validation,"bug,P2,role:student,validation","**Source:** Student role test suite — Test Case `TC-047`
**Module:** Profile
**Original QA Priority:** Medium
**Assigned Severity:** P2 (Medium)

**Test Scenario:** Pincode validation

**Expected Result:**
Validation error - pincode must be numeric/6 digits

**Actual Result / QA Notes:**
Save is blocked for invalid pincode (good), but system shows only a generic 'Failed to update profile' message instead of a specific error like 'Pincode must be 6 digits' — user can't tell which field caused the failure

**Status in QA sheet:** Fail

---
_Auto-generated from Novaa_QA_TestCases_RoleWise.xlsx. Reference project: Smart College MERN._
"
39,Medium,[Student] Reject non-PDF file,"bug,P2,role:student","**Source:** Student role test suite — Test Case `TC-051`
**Module:** Profile
**Original QA Priority:** Medium
**Assigned Severity:** P2 (Medium)

**Test Scenario:** Reject non-PDF file

**Expected Result:**
Error shown - only PDF format allowed

**Actual Result / QA Notes:**
when we uplode png format it uploded successfully not show any error message

**Status in QA sheet:** 
Fail

---
_Auto-generated from Novaa_QA_TestCases_RoleWise.xlsx. Reference project: Smart College MERN._
"
40,Medium,[Student] Current week loads by default,"bug,P2,role:student","**Source:** Student role test suite — Test Case `TC-056`
**Module:** Timetable
**Original QA Priority:** High
**Assigned Severity:** P2 (Medium)

**Test Scenario:** Current week loads by default

**Expected Result:**
Shows 'Current Week' selected, correct date range (e.g. Jul 6 - Jul 12, 2026)

**Actual Result / QA Notes:**
(no additional QA comment — see Expected Result vs actual observed behavior)

**Status in QA sheet:** Fail

---
_Auto-generated from Novaa_QA_TestCases_RoleWise.xlsx. Reference project: Smart College MERN._
"
41,Medium,[Student] Navigate to next/previous week,"bug,P2,role:student","**Source:** Student role test suite — Test Case `TC-058`
**Module:** Timetable
**Original QA Priority:** High
**Assigned Severity:** P2 (Medium)

**Test Scenario:** Navigate to next/previous week

**Expected Result:**
Date range updates correctly, corresponding week's schedule loads

**Actual Result / QA Notes:**
Date range and weekly schedule correctly update when navigating to next/previous week. However, the '(Today)' label incorrectly still appears on Tuesday in the next week's schedule (14/07/2026), even though the actual current date is 7/7/2026 — 'Today' should only be shown on the real current date, not repeat in future/past weeks.

**Status in QA sheet:** Fail

---
_Auto-generated from Novaa_QA_TestCases_RoleWise.xlsx. Reference project: Smart College MERN._
"
42,Medium,[Student] Full Week View toggle,"bug,P2,role:student","**Source:** Student role test suite — Test Case `TC-063`
**Module:** Timetable
**Original QA Priority:** Medium
**Assigned Severity:** P2 (Medium)

**Test Scenario:** Full Week View toggle

**Expected Result:**
Expanded view showing all days including weekend if applicable, all class slots visible

**Actual Result / QA Notes:**
Clicking 'Full Week View' button does nothing — no expanded view opens, button appears non-functional

**Status in QA sheet:** Fail

---
_Auto-generated from Novaa_QA_TestCases_RoleWise.xlsx. Reference project: Smart College MERN._
"
43,Medium,"[Student] Class details show subject, time, room, teacher","bug,P2,role:student","**Source:** Student role test suite — Test Case `TC-064`
**Module:** Timetable
**Original QA Priority:** High
**Assigned Severity:** P2 (Medium)

**Test Scenario:** Class details show subject, time, room, teacher

**Expected Result:**
Each class slot shows subject name, time range, room number, faculty name clearly

**Actual Result / QA Notes:**
(no additional QA comment — see Expected Result vs actual observed behavior)

**Status in QA sheet:** Fail

---
_Auto-generated from Novaa_QA_TestCases_RoleWise.xlsx. Reference project: Smart College MERN._
"
44,Medium,[Student] Attendance below 75% shows warning status,"bug,P2,role:student","**Source:** Student role test suite — Test Case `TC-087`
**Module:** Attendance
**Original QA Priority:** High
**Assigned Severity:** P2 (Medium)

**Test Scenario:** Attendance below 75% shows warning status

**Expected Result:**
Status column shows warning indicator (e.g. red/orange), consistent with 'Minimum 75% required' note

**Actual Result / QA Notes:**
Requires test data with attendance <75% in at least one subject — current test account (Ram Deshmukh) has 100% attendance in the only subject enrolled. Needs admin to create low-attendance scenario for proper testing

**Status in QA sheet:** Blocked

---
_Auto-generated from Novaa_QA_TestCases_RoleWise.xlsx. Reference project: Smart College MERN._
"
45,Medium,[SuperAdmin] Responsive layout check,"bug,P2,role:superadmin","**Source:** SuperAdmin role test suite — Test Case `TC-027`
**Module:** Dashboard
**Original QA Priority:** Medium
**Assigned Severity:** P2 (Medium)

**Test Scenario:** Responsive layout check

**Expected Result:**
Layout should remain properly responsive, no overlapping elements

**Actual Result / QA Notes:**
Some words or tables not show proper format

**Status in QA sheet:** 
fail

---
_Auto-generated from Novaa_QA_TestCases_RoleWise.xlsx. Reference project: Smart College MERN._
"
46,Medium,[SuperAdmin] Status filter - Active/Inactive,"bug,P2,role:superadmin,ui-state","**Source:** SuperAdmin role test suite — Test Case `TC-052`
**Module:** Colleges List
**Original QA Priority:** High
**Assigned Severity:** P2 (Medium)

**Test Scenario:** Status filter - Active/Inactive

**Expected Result:**
Only colleges with the selected status should be displayed

**Actual Result / QA Notes:**
Active status filter not  working in college list page

**Status in QA sheet:** Fail

---
_Auto-generated from Novaa_QA_TestCases_RoleWise.xlsx. Reference project: Smart College MERN._
"
47,Medium,[SuperAdmin] Dashboard load & metrics accuracy,"bug,P2,role:superadmin","**Source:** SuperAdmin role test suite — Test Case `TC-061`
**Module:** Admission Reports
**Original QA Priority:** High
**Assigned Severity:** P2 (Medium)

**Test Scenario:** Dashboard load & metrics accuracy

**Expected Result:**
All counts should be accurate and real-time

**Actual Result / QA Notes:**
(no additional QA comment — see Expected Result vs actual observed behavior)

**Status in QA sheet:** Fail

---
_Auto-generated from Novaa_QA_TestCases_RoleWise.xlsx. Reference project: Smart College MERN._
"
